url,title,imdb_score,description,director,stars,year,runtime,genre,rating,metascore,gross
https://www.imdb.com/title/tt18436986/,Qodrat,6.4,"Villagers around the Kahuripan Islamic Boarding School experienced many disturbances, from crop failure to possession. What happened?",Charles Gozali,"Imron Ayikayu, Vino G. Bastian, Marsha Timothy, Maudy Effrosina, Randy Pangalila",2022,102,"Action, Drama, Fantasy",17+,,
https://www.imdb.com/title/tt1368116/,Merantau,6.7,A young man from the countryside uses his skills in silat martial arts to survive the slave trade.,Gareth Evans,"Iko Uwais, Sisca Jessica, Christine Hakim, Mads Koudal",2009,134,"Action, Drama",R,,
https://www.imdb.com/title/tt10656188/,The Queen of Black Magic,6.5,"Revisiting the orphanage where they grew up, three men and their families discover a horrific supernatural presence lingering in their former home.",Kimo Stamboel,"Ario Bayu, Hannah Al Rashid, Adhisty Zara, Muzakki Ramdhan",2019,99,"Drama, Horror, Mystery",Not Rated,54,
https://www.imdb.com/title/tt27161665/,Losmen Melati,,,See full summary,,2023– ,,"Horror, Mystery, Thriller",,,
https://www.imdb.com/title/tt10896728/,Pretty Little Liars,7.2,"Indonesian teen drama based on the American TV series 'Pretty Little Liars', centering on the lives of four female students whose clique falls apart when their leader goes mysteriously missing.",Yuki Kato,"Anya Geraldine, Caitlin Halderman, Shindy Huang",2019– ,45,"Drama, Mystery, Romance",13+,,
https://www.imdb.com/title/tt21986198/,Dear David,5.8,A straight-A high schooler's life is turned upside down when her risqué fantasy blog about her crush is leaked to everyone at school.,Lucky Kuswandi,"Shenina Cinnamon, Emir Mahira, Caitlin North Lewis, Maya Hasan",I) (2023,118,"Comedy, Drama, Romance",TV-14,,
https://www.imdb.com/title/tt1447791/,Macabre,6.4,"Two newly weds Adjie and Astrid, along with 3 of their best friends decided to have an interstate road trip as a last attempt to reconcile Adjie with his estranged little sister Ladya. ...",Kimo Stamboel,"Timo Tjahjanto, Shareefa Daanish, Julie Estelle, Ario Bayu, Sigi Wimala",II) (2009,95,"Drama, Horror, Thriller",Not Rated,,
https://www.imdb.com/title/tt17497250/,Perfect Strangers,7.5,Seven friends who attend a dinner and decide to play a game with their cell phones which culminate in disaster when their dark secret is revealed.,Rako Prijanto,"Vino G. Bastian, Adipati Dolken, Jessica Mila, Denny Sumargo",2022,125,"Comedy, Drama",13+,,
https://www.imdb.com/title/tt9044128/,Suzzanna: Buried Alive,5.5,"After a pregnant woman is murdered, her spirit seeks revenge against her increasingly terrified killers, who are determined to finish her off for good.",Rocky Soraya,"Anggy Umbara, Luna Maya, Herjunot Ali, T. Rifnu Wikana, Verdi Solaiman",2018,125,"Drama, Fantasy, Horror",TV-MA,,
https://www.imdb.com/title/tt23136186/,Sewu Dino,6.6,"Sri is tasked to do a cleansing ritual for Dela Atmojo, an unconscious girl who is suffering from 1000 days-hex. The terror begins when her friend neglects to finish the ritual. Failing until the 1000th day will result in their demise.",Kimo Stamboel,"Mikha Tambayong, Rio Dewanto, Givina Lukita, Agla Artalidia",2023,121,Horror,13+,,
